BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B936953,05/02/2021,A1004867,Attending,,MSE21
B936954,05/02/2021,A1004868,Attending,,MSE21
B936956,05/02/2021,A1004870,Attending,,MSE21
B936957,05/02/2021,A1004871,Attending,,MSE21
B936958,05/02/2021,A1004872,Attending,,MSE21
B936959,05/02/2021,A1004873,Attending,,MSE21
B936960,05/02/2021,A1004874,Attending,,MSE21
B936960,05/02/2021,A1004875,Attending,,MSE21
B936964,05/02/2021,A1004879,Attending,,MSE21
B936965,05/02/2021,A1004880,Attending,,MSE21
B936965,05/02/2021,A1004881,Attending,,MSE21
B936966,05/02/2021,A1004882,Attending,,MSE21
B936967,05/02/2021,A1004883,Attending,,MSE21
B936970,05/02/2021,A1004886,Attending,,MSE21
B936974,05/02/2021,A1004890,Attending,,MSE21
B936975,05/02/2021,A1004891,Attending,,MSE21
B936977,05/02/2021,A1004893,Attending,,MSE21
B936978,05/02/2021,A1004894,Attending,,MSE21
B936979,05/02/2021,A1004895,Attending,,MSE21
B936980,05/02/2021,A1004896,Attending,,MSE21
B936981,05/02/2021,A1004897,Attending,,MSE21
B936987,05/02/2021,A1004904,Attending,,MSE21
B936988,05/02/2021,A1004905,Attending,,MSE21
B936989,05/02/2021,A1004906,Attending,,MSE21
B936990,05/02/2021,A1004907,Attending,,MSE21
B936991,05/02/2021,A1004908,Attending,,MSE21
B936992,05/02/2021,A1004909,Attending,,MSE21
B936995,05/02/2021,A1004912,Attending,,MSE21
B936996,05/02/2021,A1004913,Attending,,MSE21
B936999,05/02/2021,A1004916,Attending,,MSE21
B937000,05/02/2021,A1004917,Attending,,MSE21
B937002,05/02/2021,A1004919,Attending,,MSE21
B937003,05/02/2021,A1004920,Attending,,MSE21
B937005,05/02/2021,A1004922,Attending,,MSE21
B937007,05/02/2021,A1004924,Attending,,MSE21
B937014,05/02/2021,A1004931,Attending,,MSE21
B937016,05/02/2021,A1004933,Attending,,MSE21
B937026,05/02/2021,A1004943,Attending,,MSE21
B937030,05/02/2021,A1004947,Attending,,MSE21
B937036,05/02/2021,A1004953,Attending,,MSE21
B937040,05/02/2021,A1004957,Attending,,MSE21
B937042,05/02/2021,A1004959,Attending,,MSE21
B937061,05/02/2021,A1004978,Attending,,MSE21
B937072,05/02/2021,A1004989,Attending,,MSE21
B937072,05/02/2021,A1004990,Attending,,MSE21
B937072,05/02/2021,A1004991,Attending,,MSE21
B937072,05/02/2021,A1004992,Cancelled,,MSE21
B937076,05/02/2021,A1004996,Attending,,MSE21
B937078,05/02/2021,A1004998,Attending,,MSE21
B937080,05/02/2021,A1005000,Attending,,MSE21
B937081,05/02/2021,A1005001,Attending,,MSE21
B937113,05/02/2021,A1005033,Attending,,MSE21
B937121,05/02/2021,A1005041,Attending,,MSE21
B937125,05/02/2021,A1005045,Attending,,MSE21
B937126,05/02/2021,A1005046,Attending,,MSE21
B937137,05/02/2021,A1005057,Attending,,MSE21
B937143,05/02/2021,A1005063,Attending,,MSE21
B937153,05/02/2021,A1005073,Attending,,MSE21
B937157,05/02/2021,A1005077,Attending,,MSE21
B937163,05/02/2021,A1005083,Attending,,MSE21
B937165,05/02/2021,A1005085,Attending,,MSE21
B937172,05/02/2021,A1005092,Attending,,MSE21
B937176,05/02/2021,A1005096,Attending,,MSE21
B937186,05/02/2021,A1005106,Attending,,MSE21
B937186,05/02/2021,A1005107,Attending,,MSE21
B937186,05/02/2021,A1005108,Attending,,MSE21
B937189,05/02/2021,A1005111,Attending,,MSE21
B937197,05/02/2021,A1005119,Attending,,MSE21
B937209,05/02/2021,A1005131,Attending,,MSE21
B937252,05/02/2021,A1005174,Attending,,MSE21
B937354,05/02/2021,A1005276,Attending,,MSE21
B937628,07/02/2021,A1005550,Attending,,MSE21
B937761,08/02/2021,A1005683,Attending,,MSE21
B937769,08/02/2021,A1005691,Attending,,MSE21
B937786,08/02/2021,A1005708,Attending,,MSE21
B937792,08/02/2021,A1005714,Attending,,MSE21
B937796,08/02/2021,A1005718,Attending,,MSE21
B937808,08/02/2021,A1005730,Attending,,MSE21
B937813,08/02/2021,A1005735,Attending,,MSE21
B937822,08/02/2021,A1005744,Attending,,MSE21
B937823,08/02/2021,A1005745,Attending,,MSE21
B937837,08/02/2021,A1005759,Attending,,MSE21
B937847,08/02/2021,A1005769,Attending,,MSE21
B937849,08/02/2021,A1005771,Attending,,MSE21
B937857,08/02/2021,A1005779,Attending,,MSE21
B937869,08/02/2021,A1005791,Attending,,MSE21
B937871,08/02/2021,A1005793,Attending,,MSE21
B937901,08/02/2021,A1005823,Cancelled,,MSE21
B937901,08/02/2021,A1005824,Attending,,MSE21
B937914,08/02/2021,A1005837,Attending,,MSE21
B937921,08/02/2021,A1005844,Attending,,MSE21
B937928,08/02/2021,A1005851,Attending,,MSE21
B937971,08/02/2021,A1005895,Attending,,MSE21
B937996,08/02/2021,A1005920,Attending,,MSE21
B938064,08/02/2021,A1005988,Attending,,MSE21
B938089,08/02/2021,A1006013,Attending,,MSE21
B938092,08/02/2021,A1006016,Attending,,MSE21
B938104,08/02/2021,A1006028,Attending,,MSE21
B938105,08/02/2021,A1006029,Attending,,MSE21
B938280,08/02/2021,A1006204,Attending,,MSE21
B938557,09/02/2021,A1006482,Attending,,MSE21
B938593,09/02/2021,A1006518,Attending,,MSE21
B938658,09/02/2021,A1006589,Attending,,MSE21
B938668,09/02/2021,A1006599,Attending,,MSE21
B938674,09/02/2021,A1006605,Attending,,MSE21
B938685,09/02/2021,A1006616,Attending,,MSE21
B938685,09/02/2021,A1006617,Attending,,MSE21
B938742,09/02/2021,A1006674,Attending,,MSE21
B938798,09/02/2021,A1006730,Attending,,MSE21
B938830,09/02/2021,A1006762,Attending,,MSE21
B938870,09/02/2021,A1006802,Attending,,MSE21
B938875,09/02/2021,A1006807,Attending,,MSE21
B938875,09/02/2021,A1006808,Attending,,MSE21
B938949,09/02/2021,A1006882,Attending,,MSE21
B939215,10/02/2021,A1007148,Attending,,MSE21
B939508,10/02/2021,A1007441,Attending,,MSE21
B939529,10/02/2021,A1007462,Attending,,MSE21
B939605,10/02/2021,A1007538,Attending,,MSE21
B939869,11/02/2021,A1007802,Attending,,MSE21
B939870,11/02/2021,A1007803,Attending,,MSE21
B940079,11/02/2021,A1008012,Attending,,MSE21
B940388,12/02/2021,A1008321,Attending,,MSE21
B940389,12/02/2021,A1008322,Attending,,MSE21
B940392,12/02/2021,A1008325,Attending,,MSE21
B940405,12/02/2021,A1008338,Attending,,MSE21
B940471,12/02/2021,A1008404,Attending,,MSE21
B940471,12/02/2021,A1008405,Attending,,MSE21
B940492,12/02/2021,A1008426,Attending,,MSE21
B940495,12/02/2021,A1008429,Attending,,MSE21
B940502,12/02/2021,A1008436,Attending,,MSE21
B940532,12/02/2021,A1008466,Attending,,MSE21
B940602,12/02/2021,A1008536,Attending,,MSE21
B941262,15/02/2021,A1009196,Attending,,MSE21
B941351,15/02/2021,A1009285,Attending,,MSE21
B941365,15/02/2021,A1009299,Attending,,MSE21
B941414,15/02/2021,A1009348,Attending,,MSE21
B941521,15/02/2021,A1009455,Attending,,MSE21
B942278,16/02/2021,A1010212,Attending,,MSE21
B942297,16/02/2021,A1010231,Attending,,MSE21
B942371,16/02/2021,A1010305,Attending,,MSE21
B942377,16/02/2021,A1010311,Attending,,MSE21
B942383,16/02/2021,A1010317,Attending,,MSE21
B942401,16/02/2021,A1010335,Attending,,MSE21
B942410,16/02/2021,A1010344,Attending,,MSE21
B942415,16/02/2021,A1010349,Attending,,MSE21
B942419,16/02/2021,A1010353,Attending,,MSE21
B942437,16/02/2021,A1010371,Attending,,MSE21
B942448,16/02/2021,A1010382,Attending,,MSE21
B942455,16/02/2021,A1010389,Attending,,MSE21
B942455,16/02/2021,A1010390,Attending,,MSE21
B942455,16/02/2021,A1010391,Attending,,MSE21
B942464,16/02/2021,A1010400,Attending,,MSE21
B942479,16/02/2021,A1010415,Attending,,MSE21
B942484,16/02/2021,A1010420,Attending,,MSE21
B942487,16/02/2021,A1010423,Attending,,MSE21
B942520,16/02/2021,A1010456,Attending,,MSE21
B942531,16/02/2021,A1010467,Attending,,MSE21
B942545,16/02/2021,A1010481,Attending,,MSE21
B942548,16/02/2021,A1010484,Attending,,MSE21
B942552,16/02/2021,A1010488,Attending,,MSE21
B942553,16/02/2021,A1010489,Attending,,MSE21
B942561,16/02/2021,A1010497,Attending,,MSE21
B942565,16/02/2021,A1010501,Attending,,MSE21
B942615,16/02/2021,A1010551,Attending,,MSE21
B942624,16/02/2021,A1010560,Attending,,MSE21
B942638,16/02/2021,A1010574,Attending,,MSE21
B942695,16/02/2021,A1010631,Attending,,MSE21
B942791,16/02/2021,A1010727,Attending,,MSE21
B942804,16/02/2021,A1010740,Attending,,MSE21
B942915,17/02/2021,A1010851,Attending,,MSE21
B942953,17/02/2021,A1010889,Attending,,MSE21
B942984,17/02/2021,A1010920,Attending,,MSE21
B943006,17/02/2021,A1010942,Attending,,MSE21
B943075,17/02/2021,A1011012,Attending,,MSE21
B943138,17/02/2021,A1011076,Attending,,MSE21
B943143,17/02/2021,A1011081,Attending,,MSE21
B943158,17/02/2021,A1011096,Attending,,MSE21
B943177,17/02/2021,A1011115,Attending,,MSE21
B943178,17/02/2021,A1011116,Attending,,MSE21
B943249,17/02/2021,A1011187,Attending,,MSE21
B943291,17/02/2021,A1011229,Attending,,MSE21
