Created Date,Event Code,registration_count,cumulative_registrations,Event date,Target audience,Days until event,promotional_spike
2021-02-16,MSE21,32,335,2021-03-24,Education property managers,36,0
2021-02-17,D21,1,5,2021-12-09,IT Managers,295,0
2021-02-17,GP21,5,207,2021-04-22,Property Managers,64,0
2021-02-17,MSE21,18,353,2021-03-24,Education property managers,35,0
2021-02-18,GP21,9,216,2021-04-22,Property Managers,63,0
2021-02-18,MSE21,135,488,2021-03-24,Education property managers,34,1
2021-02-18,NP21,1,146,2021-11-09,Property Managers,264,0
2021-02-19,GP21,3,219,2021-04-22,Property Managers,62,0
2021-02-19,MSE21,51,539,2021-03-24,Education property managers,33,1
2021-02-20,GP21,1,220,2021-04-22,Property Managers,61,0
2021-02-20,MSE21,4,543,2021-03-24,Education property managers,32,0
2021-02-21,MSE21,10,553,2021-03-24,Education property managers,31,0
2021-02-22,GP21,8,228,2021-04-22,Property Managers,59,0
2021-02-22,MSE21,117,670,2021-03-24,Education property managers,30,1
2021-02-22,NP21,1,147,2021-11-09,Property Managers,260,0
2021-02-23,GP21,1,229,2021-04-22,Property Managers,58,0
2021-02-23,MSE21,95,765,2021-03-24,Education property managers,29,1
2021-02-24,GP21,1,230,2021-04-22,Property Managers,57,0
2021-02-24,MSE21,62,827,2021-03-24,Education property managers,28,1
2021-02-24,NP21,1,148,2021-11-09,Property Managers,258,0
2021-02-25,MSE21,23,850,2021-03-24,Education property managers,27,0
2021-02-26,GP21,1,231,2021-04-22,Property Managers,55,0
2021-02-26,MSE21,19,869,2021-03-24,Education property managers,26,0
2021-02-27,MSE21,1,870,2021-03-24,Education property managers,25,0
2021-03-01,GP21,4,235,2021-04-22,Property Managers,52,0
2021-03-01,MSE21,17,887,2021-03-24,Education property managers,23,0
2021-03-02,GP21,58,293,2021-04-22,Property Managers,51,1
2021-03-02,MSE21,13,900,2021-03-24,Education property managers,22,0
2021-03-03,GP21,15,308,2021-04-22,Property Managers,50,0
2021-03-03,MSE21,94,994,2021-03-24,Education property managers,21,1
2021-03-04,GP21,20,328,2021-04-22,Property Managers,49,0
2021-03-04,MSE21,121,1115,2021-03-24,Education property managers,20,1
2021-03-05,GP21,25,353,2021-04-22,Property Managers,48,0
2021-03-05,MSE21,39,1154,2021-03-24,Education property managers,19,0
2021-03-06,MSE21,6,1160,2021-03-24,Education property managers,18,0
2021-03-07,MSE21,14,1174,2021-03-24,Education property managers,17,0
2021-03-08,GP21,8,361,2021-04-22,Property Managers,45,0
2021-03-08,MSE21,53,1227,2021-03-24,Education property managers,16,1
2021-03-09,GP21,24,385,2021-04-22,Property Managers,44,0
2021-03-09,MSE21,24,1251,2021-03-24,Education property managers,15,0
2021-03-10,GP21,43,428,2021-04-22,Property Managers,43,0
2021-03-10,MSE21,36,1287,2021-03-24,Education property managers,14,0
2021-03-11,GP21,9,437,2021-04-22,Property Managers,42,0
2021-03-11,MSE21,66,1353,2021-03-24,Education property managers,13,1
2021-03-12,GP21,7,444,2021-04-22,Property Managers,41,0
2021-03-12,MSE21,27,1380,2021-03-24,Education property managers,12,0
2021-03-13,GP21,1,445,2021-04-22,Property Managers,40,0
2021-03-13,MSE21,9,1389,2021-03-24,Education property managers,11,0
2021-03-14,MSE21,8,1397,2021-03-24,Education property managers,10,0
2021-03-15,GP21,6,451,2021-04-22,Property Managers,38,0
2021-03-15,MSE21,30,1427,2021-03-24,Education property managers,9,0
2021-03-16,GP21,4,455,2021-04-22,Property Managers,37,0
2021-03-16,MSE21,30,1457,2021-03-24,Education property managers,8,0
2021-03-17,GP21,6,461,2021-04-22,Property Managers,36,0
2021-03-17,MSE21,27,1484,2021-03-24,Education property managers,7,0
2021-03-18,D21,1,6,2021-12-09,IT Managers,266,0
2021-03-18,GP21,2,463,2021-04-22,Property Managers,35,0
2021-03-18,MSE21,17,1501,2021-03-24,Education property managers,6,0
2021-03-19,D21,1,7,2021-12-09,IT Managers,265,0
2021-03-19,GP21,7,470,2021-04-22,Property Managers,34,0
2021-03-19,MSE21,16,1517,2021-03-24,Education property managers,5,0
2021-03-21,GP21,1,471,2021-04-22,Property Managers,32,0
2021-03-22,GP21,7,478,2021-04-22,Property Managers,31,0
2021-03-22,MSE21,37,1554,2021-03-24,Education property managers,2,0
2021-03-23,GP21,15,493,2021-04-22,Property Managers,30,0
2021-03-23,MSE21,31,1585,2021-03-24,Education property managers,1,0
2021-03-24,GP21,5,498,2021-04-22,Property Managers,29,0
2021-03-24,MSE21,8,1593,2021-03-24,Education property managers,0,0
2021-03-25,GP21,16,514,2021-04-22,Property Managers,28,0
2021-03-25,NP21,1,149,2021-11-09,Property Managers,229,0
2021-03-26,GP21,8,522,2021-04-22,Property Managers,27,0
2021-03-28,GP21,1,523,2021-04-22,Property Managers,25,0
2021-03-29,GP21,39,562,2021-04-22,Property Managers,24,0
2021-03-30,GP21,19,581,2021-04-22,Property Managers,23,0
2021-03-31,GP21,22,603,2021-04-22,Property Managers,22,0
2021-04-01,GP21,4,607,2021-04-22,Property Managers,21,0
2021-04-05,GP21,2,609,2021-04-22,Property Managers,17,0
2021-04-06,GP21,28,637,2021-04-22,Property Managers,16,0
2021-04-07,GP21,6,643,2021-04-22,Property Managers,15,0
2021-04-08,GP21,9,652,2021-04-22,Property Managers,14,0
2021-04-09,GP21,8,660,2021-04-22,Property Managers,13,0
2021-04-10,GP21,1,661,2021-04-22,Property Managers,12,0
2021-04-12,D21,1,8,2021-12-09,IT Managers,241,0
2021-04-12,GP21,15,676,2021-04-22,Property Managers,10,0
2021-04-12,NP21,1,150,2021-11-09,Property Managers,211,0
2021-04-13,D21,1,9,2021-12-09,IT Managers,240,0
2021-04-13,GP21,15,691,2021-04-22,Property Managers,9,0
2021-04-14,GP21,24,715,2021-04-22,Property Managers,8,0
2021-04-15,GP21,16,731,2021-04-22,Property Managers,7,0
2021-04-16,GP21,7,738,2021-04-22,Property Managers,6,0
2021-04-19,GP21,10,748,2021-04-22,Property Managers,3,0
2021-04-20,D21,1,10,2021-12-09,IT Managers,233,0
2021-04-20,GP21,19,767,2021-04-22,Property Managers,2,0
2021-04-21,GP21,29,796,2021-04-22,Property Managers,1,0
2021-04-22,GP21,2,798,2021-04-22,Property Managers,0,0
2021-04-27,D21,1,11,2021-12-09,IT Managers,226,0
2021-04-27,NP21,1,151,2021-11-09,Property Managers,196,0
2021-04-28,D21,1,12,2021-12-09,IT Managers,225,0
2021-04-30,D21,1,13,2021-12-09,IT Managers,223,0
2021-05-06,D21,1,14,2021-12-09,IT Managers,217,0
2021-05-06,NP21,2,153,2021-11-09,Property Managers,187,0
2021-05-12,NP21,2,155,2021-11-09,Property Managers,181,0
2021-05-18,NP21,5,160,2021-11-09,Property Managers,175,0
2021-05-27,D21,2,16,2021-12-09,IT Managers,196,0
2021-06-02,D21,7,23,2021-12-09,IT Managers,190,0
2021-06-03,D21,3,26,2021-12-09,IT Managers,189,0
2021-06-14,NP21,1,161,2021-11-09,Property Managers,148,0
2021-06-22,D21,1,27,2021-12-09,IT Managers,170,0
2021-06-28,D21,1,28,2021-12-09,IT Managers,164,0
2021-07-12,NP21,1,162,2021-11-09,Property Managers,120,0
2021-07-14,NP21,2,164,2021-11-09,Property Managers,118,0
2021-07-16,NP21,2,166,2021-11-09,Property Managers,116,0
2021-07-21,NP21,1,167,2021-11-09,Property Managers,111,0
2021-08-03,D21,1,29,2021-12-09,IT Managers,128,0
2021-08-03,NP21,1,168,2021-11-09,Property Managers,98,0
2021-08-06,NP21,1,169,2021-11-09,Property Managers,95,0
2021-08-11,NP21,24,193,2021-11-09,Property Managers,90,0
2021-08-12,NP21,5,198,2021-11-09,Property Managers,89,0
2021-08-13,D21,1,30,2021-12-09,IT Managers,118,0
2021-08-16,NP21,2,200,2021-11-09,Property Managers,85,0
2021-08-17,NP21,1,201,2021-11-09,Property Managers,84,0
2021-08-18,NP21,1,202,2021-11-09,Property Managers,83,0
2021-08-19,NP21,2,204,2021-11-09,Property Managers,82,0
2021-08-24,D21,2,32,2021-12-09,IT Managers,107,0
2021-08-25,NP21,2,206,2021-11-09,Property Managers,76,0
2021-08-27,D21,1,33,2021-12-09,IT Managers,104,0
2021-08-31,NP21,2,208,2021-11-09,Property Managers,70,0
2021-09-01,NP21,1,209,2021-11-09,Property Managers,69,0
2021-09-02,NP21,4,213,2021-11-09,Property Managers,68,0
2021-09-03,D21,1,34,2021-12-09,IT Managers,97,0
2021-09-03,NP21,1,214,2021-11-09,Property Managers,67,0
2021-09-06,NP21,1,215,2021-11-09,Property Managers,64,0
2021-09-07,D21,3,37,2021-12-09,IT Managers,93,0
2021-09-07,NP21,1,216,2021-11-09,Property Managers,63,0
2021-09-15,D21,2,39,2021-12-09,IT Managers,85,0
2021-09-17,D21,2,41,2021-12-09,IT Managers,83,0
2021-09-21,D21,20,61,2021-12-09,IT Managers,79,0
2021-09-22,D21,9,70,2021-12-09,IT Managers,78,0
2021-09-23,D21,4,74,2021-12-09,IT Managers,77,0
2021-09-24,NP21,8,224,2021-11-09,Property Managers,46,0
2021-09-27,D21,2,76,2021-12-09,IT Managers,73,0
2021-09-27,NP21,10,234,2021-11-09,Property Managers,43,0
2021-09-28,D21,1,77,2021-12-09,IT Managers,72,0
2021-09-28,NP21,9,243,2021-11-09,Property Managers,42,0
2021-09-29,D21,3,80,2021-12-09,IT Managers,71,0
2021-09-29,NP21,3,246,2021-11-09,Property Managers,41,0
2021-09-30,D21,6,86,2021-12-09,IT Managers,70,0
2021-09-30,NP21,7,253,2021-11-09,Property Managers,40,0
2021-10-01,NP21,2,255,2021-11-09,Property Managers,39,0
2021-10-04,D21,5,91,2021-12-09,IT Managers,66,0
2021-10-04,NP21,4,259,2021-11-09,Property Managers,36,0
2021-10-05,D21,6,97,2021-12-09,IT Managers,65,0
2021-10-05,NP21,2,261,2021-11-09,Property Managers,35,0
2021-10-06,D21,5,102,2021-12-09,IT Managers,64,0
2021-10-06,NP21,1,262,2021-11-09,Property Managers,34,0
2021-10-07,D21,2,104,2021-12-09,IT Managers,63,0
2021-10-07,NP21,1,263,2021-11-09,Property Managers,33,0
2021-10-08,D21,2,106,2021-12-09,IT Managers,62,0
2021-10-08,NP21,6,269,2021-11-09,Property Managers,32,0
2021-10-11,D21,2,108,2021-12-09,IT Managers,59,0
2021-10-11,NP21,5,274,2021-11-09,Property Managers,29,0
2021-10-12,D21,8,116,2021-12-09,IT Managers,58,0
2021-10-12,NP21,1,275,2021-11-09,Property Managers,28,0
2021-10-13,D21,7,123,2021-12-09,IT Managers,57,0
2021-10-14,D21,15,138,2021-12-09,IT Managers,56,0
2021-10-14,NP21,2,277,2021-11-09,Property Managers,26,0
2021-10-15,D21,1,139,2021-12-09,IT Managers,55,0
2021-10-15,NP21,2,279,2021-11-09,Property Managers,25,0
2021-10-18,D21,2,141,2021-12-09,IT Managers,52,0
2021-10-18,NP21,4,283,2021-11-09,Property Managers,22,0
2021-10-19,D21,2,143,2021-12-09,IT Managers,51,0
2021-10-19,NP21,9,292,2021-11-09,Property Managers,21,0
2021-10-20,D21,6,149,2021-12-09,IT Managers,50,0
2021-10-20,NP21,6,298,2021-11-09,Property Managers,20,0
2021-10-21,D21,3,152,2021-12-09,IT Managers,49,0
2021-10-21,NP21,3,301,2021-11-09,Property Managers,19,0
2021-10-22,D21,2,154,2021-12-09,IT Managers,48,0
2021-10-22,NP21,7,308,2021-11-09,Property Managers,18,0
2021-10-23,NP21,1,309,2021-11-09,Property Managers,17,0
2021-10-25,D21,7,161,2021-12-09,IT Managers,45,0
2021-10-25,NP21,4,313,2021-11-09,Property Managers,15,0
2021-10-26,D21,2,163,2021-12-09,IT Managers,44,0
2021-10-26,NP21,6,319,2021-11-09,Property Managers,14,0
2021-10-27,D21,14,177,2021-12-09,IT Managers,43,0
2021-10-27,NP21,9,328,2021-11-09,Property Managers,13,0
2021-10-28,D21,13,190,2021-12-09,IT Managers,42,0
2021-10-28,NP21,3,331,2021-11-09,Property Managers,12,0
2021-10-29,D21,3,193,2021-12-09,IT Managers,41,0
2021-10-29,NP21,10,341,2021-11-09,Property Managers,11,0
2021-10-31,D21,1,194,2021-12-09,IT Managers,39,0
2021-11-01,D21,4,198,2021-12-09,IT Managers,38,0
2021-11-01,NP21,14,355,2021-11-09,Property Managers,8,0
2021-11-02,D21,1,199,2021-12-09,IT Managers,37,0
2021-11-02,NP21,9,364,2021-11-09,Property Managers,7,0
2021-11-03,D21,6,205,2021-12-09,IT Managers,36,0
2021-11-03,NP21,8,372,2021-11-09,Property Managers,6,0
2021-11-04,D21,2,207,2021-12-09,IT Managers,35,0
2021-11-04,NP21,6,378,2021-11-09,Property Managers,5,0
2021-11-05,D21,9,216,2021-12-09,IT Managers,34,0
2021-11-05,NP21,9,387,2021-11-09,Property Managers,4,0
2021-11-08,D21,4,220,2021-12-09,IT Managers,31,0
2021-11-08,NP21,7,394,2021-11-09,Property Managers,1,0
2021-11-09,D21,13,233,2021-12-09,IT Managers,30,0
2021-11-09,NP21,1,395,2021-11-09,Property Managers,0,0
2021-11-10,D21,20,253,2021-12-09,IT Managers,29,0
2021-11-11,D21,25,278,2021-12-09,IT Managers,28,0
2021-11-12,D21,13,291,2021-12-09,IT Managers,27,0
2021-11-13,D21,1,292,2021-12-09,IT Managers,26,0
2021-11-15,D21,19,311,2021-12-09,IT Managers,24,0
2021-11-16,D21,7,318,2021-12-09,IT Managers,23,0
2021-11-17,D21,15,333,2021-12-09,IT Managers,22,0
2021-11-18,D21,11,344,2021-12-09,IT Managers,21,0
2021-11-19,D21,5,349,2021-12-09,IT Managers,20,0
2021-11-22,D21,32,381,2021-12-09,IT Managers,17,0
2021-11-23,D21,11,392,2021-12-09,IT Managers,16,0
2021-11-24,D21,17,409,2021-12-09,IT Managers,15,0
2021-11-25,D21,14,423,2021-12-09,IT Managers,14,0
2021-11-26,D21,9,432,2021-12-09,IT Managers,13,0
2021-11-28,D21,1,433,2021-12-09,IT Managers,11,0
2021-11-29,D21,11,444,2021-12-09,IT Managers,10,0
2021-11-30,D21,35,479,2021-12-09,IT Managers,9,0
2021-12-01,D21,12,491,2021-12-09,IT Managers,8,0
2021-12-02,D21,29,520,2021-12-09,IT Managers,7,0
2021-12-03,D21,17,537,2021-12-09,IT Managers,6,0
2021-12-04,D21,1,538,2021-12-09,IT Managers,5,0
2021-12-06,D21,68,606,2021-12-09,IT Managers,3,1
2021-12-07,D21,23,629,2021-12-09,IT Managers,2,0
2021-12-08,D21,25,654,2021-12-09,IT Managers,1,0
2021-12-09,D21,15,669,2021-12-09,IT Managers,0,0
2022-03-16,SRM22,70,70,2022-06-15,Education Managers,91,1
2022-03-17,SRM22,30,100,2022-06-15,Education Managers,90,0
2022-03-18,SRM22,37,137,2022-06-15,Education Managers,89,0
2022-03-19,SRM22,3,140,2022-06-15,Education Managers,88,0
2022-03-20,SRM22,1,141,2022-06-15,Education Managers,87,0
2022-03-21,SRM22,15,156,2022-06-15,Education Managers,86,0
2022-03-22,SRM22,4,160,2022-06-15,Education Managers,85,0
2022-03-23,SRM22,2,162,2022-06-15,Education Managers,84,0
2022-03-24,SRM22,157,319,2022-06-15,Education Managers,83,1
2022-03-25,SRM22,14,333,2022-06-15,Education Managers,82,0
2022-03-26,SRM22,4,337,2022-06-15,Education Managers,81,0
2022-03-27,SRM22,1,338,2022-06-15,Education Managers,80,0
2022-03-28,SRM22,23,361,2022-06-15,Education Managers,79,0
2022-03-29,SRM22,10,371,2022-06-15,Education Managers,78,0
2022-03-30,SRM22,8,379,2022-06-15,Education Managers,77,0
2022-03-31,SRM22,1,380,2022-06-15,Education Managers,76,0
2022-04-01,SRM22,2,382,2022-06-15,Education Managers,75,0
2022-04-04,SRM22,8,390,2022-06-15,Education Managers,72,0
2022-04-05,SRM22,3,393,2022-06-15,Education Managers,71,0
2022-04-06,SRM22,5,398,2022-06-15,Education Managers,70,0
2022-04-08,SRM22,5,403,2022-06-15,Education Managers,68,0
2022-04-12,SRM22,3,406,2022-06-15,Education Managers,64,0
2022-04-13,SRM22,3,409,2022-06-15,Education Managers,63,0
2022-04-14,SRM22,2,411,2022-06-15,Education Managers,62,0
2022-04-16,SRM22,1,412,2022-06-15,Education Managers,60,0
2022-04-19,SRM22,3,415,2022-06-15,Education Managers,57,0
2022-04-21,SRM22,9,424,2022-06-15,Education Managers,55,0
2022-04-24,SRM22,1,425,2022-06-15,Education Managers,52,0
2022-04-25,SRM22,2,427,2022-06-15,Education Managers,51,0
2022-04-26,SRM22,3,430,2022-06-15,Education Managers,50,0
2022-04-27,SRM22,3,433,2022-06-15,Education Managers,49,0
2022-04-28,SRM22,4,437,2022-06-15,Education Managers,48,0
2022-04-29,SRM22,48,485,2022-06-15,Education Managers,47,1
2022-05-01,SRM22,1,486,2022-06-15,Education Managers,45,0
2022-05-02,SRM22,2,488,2022-06-15,Education Managers,44,0
2022-05-03,SRM22,13,501,2022-06-15,Education Managers,43,0
2022-05-04,SRM22,7,508,2022-06-15,Education Managers,42,0
2022-05-05,SRM22,52,560,2022-06-15,Education Managers,41,1
2022-05-06,SRM22,15,575,2022-06-15,Education Managers,40,0
2022-05-08,SRM22,3,578,2022-06-15,Education Managers,38,0
2022-05-09,SRM22,14,592,2022-06-15,Education Managers,37,0
2022-05-10,SRM22,5,597,2022-06-15,Education Managers,36,0
2022-05-11,SRM22,6,603,2022-06-15,Education Managers,35,0
2022-05-12,SRM22,3,606,2022-06-15,Education Managers,34,0
2022-05-13,SRM22,2,608,2022-06-15,Education Managers,33,0
2022-05-15,SRM22,1,609,2022-06-15,Education Managers,31,0
2022-05-16,SRM22,5,614,2022-06-15,Education Managers,30,0
2022-05-17,SRM22,5,619,2022-06-15,Education Managers,29,0
2022-05-18,SRM22,6,625,2022-06-15,Education Managers,28,0
2022-05-19,SRM22,2,627,2022-06-15,Education Managers,27,0
2022-05-20,SRM22,1,628,2022-06-15,Education Managers,26,0
2022-05-21,SRM22,1,629,2022-06-15,Education Managers,25,0
2022-05-22,SRM22,1,630,2022-06-15,Education Managers,24,0
