BookingReference,Created Date,Reference,Attendee Status,Attended
B1292538,22/08/2024,A1367110,Cancelled,
B1292553,22/08/2024,A1367125,Attending,Yes
B1292607,22/08/2024,A1367179,Attending,Yes
B1292608,22/08/2024,A1367180,Attending,Yes
B1292613,22/08/2024,A1367185,Cancelled,
B1292619,22/08/2024,A1367191,Attending,Yes
B1292622,22/08/2024,A1367194,Attending,Yes
B1292623,22/08/2024,A1367195,Attending,Yes
B1292631,22/08/2024,A1367203,Attending,Yes
B1292633,22/08/2024,A1367205,Attending,Yes
B1292635,22/08/2024,A1367207,Cancelled,
B1292672,23/08/2024,A1367245,Attending,Yes
B1292677,23/08/2024,A1367250,Cancelled,
B1292679,23/08/2024,A1367252,Attending,Yes
B1292951,27/08/2024,A1367527,Cancelled,
B1292952,27/08/2024,A1367528,Attending,Yes
B1292953,27/08/2024,A1367529,Cancelled,
B1292962,27/08/2024,A1367538,Attending,Yes
B1292991,27/08/2024,A1367568,Attending,Yes
B1293054,28/08/2024,A1367631,Attending,Yes
B1293059,28/08/2024,A1367636,Attending,Yes
B1293064,28/08/2024,A1367641,Attending,Yes
B1293066,28/08/2024,A1367643,Attending,No
B1293082,28/08/2024,A1367660,Attending,Yes
B1293084,28/08/2024,A1367662,Attending,Yes
B1293118,29/08/2024,A1367700,Attending,Yes
B1293121,29/08/2024,A1367703,Cancelled,
B1293122,29/08/2024,A1367704,Cancelled,
B1293123,29/08/2024,A1367705,Attending,Yes
B1293124,29/08/2024,A1367706,Attending,Yes
B1293125,29/08/2024,A1367707,Attending,Yes
B1293126,29/08/2024,A1367708,Attending,Yes
B1293127,29/08/2024,A1367709,Attending,Yes
B1293129,29/08/2024,A1367711,Attending,Yes
B1293132,29/08/2024,A1367714,Attending,Yes
B1293133,29/08/2024,A1367715,Attending,Yes
B1293159,29/08/2024,A1367741,Attending,Yes
B1293162,29/08/2024,A1367744,Attending,Yes
B1293170,29/08/2024,A1367752,Attending,Yes
B1293175,29/08/2024,A1367759,Attending,Yes
B1293259,30/08/2024,A1367844,Attending,Yes
B1293261,30/08/2024,A1367846,Attending,Yes
B1293262,30/08/2024,A1367847,Attending,Yes
B1293295,30/08/2024,A1367880,Attending,Yes
B1293302,30/08/2024,A1367887,Attending,Yes
B1293306,30/08/2024,A1367891,Attending,No
B1293308,30/08/2024,A1367893,Attending,Yes
B1293546,03/09/2024,A1368141,Attending,Yes
B1293548,03/09/2024,A1368143,Attending,No
B1293553,03/09/2024,A1368148,Attending,Yes
B1293555,03/09/2024,A1368150,Attending,Yes
B1293577,03/09/2024,A1368173,Attending,Yes
B1293578,03/09/2024,A1368174,Attending,Yes
B1293608,03/09/2024,A1368204,Attending,Yes
B1293670,04/09/2024,A1368273,Attending,Yes
B1293724,04/09/2024,A1368327,Attending,Yes
B1293733,04/09/2024,A1368336,Attending,Yes
B1293867,05/09/2024,A1368471,Attending,Yes
B1293884,05/09/2024,A1368488,Attending,Yes
B1293886,05/09/2024,A1368490,Attending,Yes
B1293887,05/09/2024,A1368491,Attending,Yes
B1293890,05/09/2024,A1368494,Attending,Yes
B1293892,05/09/2024,A1368499,Attending,Yes
B1293897,05/09/2024,A1368504,Attending,Yes
B1293898,05/09/2024,A1368505,Attending,Yes
B1294175,09/09/2024,A1368817,Attending,Yes
B1294182,09/09/2024,A1368824,Attending,Yes
B1294205,09/09/2024,A1368849,Attending,Yes
B1294205,09/09/2024,A1368850,Attending,Yes
B1294205,09/09/2024,A1368851,Attending,No
B1294205,09/09/2024,A1368852,Attending,No
B1294480,10/09/2024,A1369129,Attending,Yes
B1294638,11/09/2024,A1369288,Attending,Yes
B1294639,11/09/2024,A1369289,Attending,Yes
